title,author,year,publisher,rank,category,link,generatedlinkignorethisexperimental,cover,synopsis,synopsissource
The Greed Merchants,Philip Augar,2005,Penguin,longlist,banking & finance,http://www.ft.com/cms/s/1/28997ea0-b4da-11d9-8df4-00000e2511c8.html?siteedition=uk,https://booko.co.uk/9780141017679,The_Greed_Merchants.jpg,The_Greed_Merchants.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141900629,00.html?strSrchSql=the+greed+merchants%2A/The_Greed_Merchants_Philip_Augar"
Freakonomics,"Steven Levitt, Stephen Dubner",2005,Penguin,shortlist,"economics, behavioural science",,https://booko.co.uk/9780674022287,Freakonomics.jpg,Freakonomics.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141019017,00.html?strSrchSql=freakonomics/Freakonomics_Stephen_J._Dubner"
The World is Flat,Thomas Friedman,2005,Penguin,winner,"globalisation, economics",http://www.ft.com/cms/s/0/6831c6c8-d495-11d9-9db0-00000e2511c8.html,https://booko.co.uk/9780674022287,The_world_is_flat.jpg,The_world_is_flat.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141034898,00.html?strSrchSql=the+world+is+flat/The_World_is_Flat_Thomas_L._Friedman"
China Inc,Ted Fishman,2005,Pocket Books,longlist,growth markets,http://www.ft.com/cms/s/0/dd0ed650-8b4f-11d9-ae03-00000e2511c8.html,https://booko.co.uk/9780674022287,China_Inc.jpg,China_Inc.md,http://books.simonandschuster.com/China-Inc/Ted-Fishman/9780743257350
Disneywar,James Stewart,2005,Pocket Books,shortlist,entertainment & media,,https://booko.co.uk/9780674022287,Disneywar.jpg,Disneywar.md,http://books.simonandschuster.co.uk/Disneywar/James-B-Stewart/9780743496001
The Battle for the Soul of Capitalism,John Bogle,2005,Yale University Press,longlist,investment & markets,,https://booko.co.uk/9780674022287,The_battle_for_the_soul_of_capitalism.jpg,The_battle_for_the_soul_of_capitalism.md,http://yalepress.yale.edu/yupbooks/book.asp?isbn=9780300119718
Myself and Other More Important Matters,Charles Handy,2006,Arrow,longlist,"leadership & management, biography",http://www.ft.com/cms/s/1/acde4606-ea7a-11da-9566-0000779e2340.html,,Myself_and_other_more_important_matters.jpg,Myself_and_other_more_important_matters.md,http://www.randomhouse.co.uk/editions/myself-and-other-more-important-matters/9780099481881
"Traders, Guns and Money",Satyajit Das,2006,FT Publishing International,longlist,"banking & finance, investment & markets",http://www.ft.com/cms/s/1/a22ce37e-df7c-11da-afe4-0000779e2340.html,,Traders_guns_and_money.jpg,Traders_guns_and_money.md,http://www.amazon.co.uk/Traders-Guns-Money-Derivatives-Financial/dp/0273776762/ref=sr_1_1?s=books&ie=UTF8&qid=1414146938&sr=1-1&keywords=traders+guns+and+money
Operation Yao Ming,Brook Larmer,2006,Gotham Books,longlist,"entertainment & media, growth markets",http://www.ft.com/cms/s/0/d34ea0dc-a430-11da-897c-0000779e2340.html,,Operation_Yao_Ming.jpg,Operation_Yao_Ming.md,http://www.amazon.com/Operation-Yao-Ming-American-Superstar/dp/1592400787
Why Should Anyone Be Led by You,"Rob Goffee, Gareth Jones",2006,Harvard Business Review Press,longlist,leadership & management,http://www.ft.com/cms/s/1/4632166e-8b64-11da-91a1-0000779e2340.html,,Why_should_anyone_be_led_by_you.jpg,Why_should_anyone_be_led_by_you.md,http://hbr.org/product/why-should-anyone-be-led-by-you-what-it-takes-to-be-an-authentic-leader/an/1272KB-KND-ENG
The Baby Business,Debora Spar,2006,Harvard Business School Press,longlist,"economics, investment & markets",,,The_Baby_Business.jpg,The_Baby_Business.md,http://www.amazon.co.uk/The-Baby-Business-Politics-Conception/dp/1591396204
The Long Tail,Chris Anderson,2006,Hyperion,shortlist,"technology & innovation, manufacturing & commerce",http://www.ft.com/cms/s/0/796857b4-1142-11db-9a72-0000779e2340.html,,The_Long_Tail.jpg,The_Long_Tail.md,http://hyperionbooks.com/book/the-long-tail-revised-and-updated-editionwhy-the-future-of-business-is-selling-less-of-more/
Hedgehogging,Barton Biggs,2006,John Wiley & Sons,longlist,"banking & finance, investment & markets",http://www.ft.com/cms/s/1/92809ac0-70b8-11da-89d3-0000779e2340.html,,Hedgehogging.jpg,Hedgehogging.md,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-047006773X.html
Pitch Invasion,Barbara Smit,2006,Penguin,longlist,entertainment & media,http://www.ft.com/cms/s/0/f275c858-ebb3-11da-b3e2-0000779e2340.html,,Pitch_invasion.jpg,Pitch_invasion.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141902586,00.html?strSrchSql=pitch+invasion%2A/Pitch_Invasion_Barbara_Smit"
The Wal-Mart Effect,Charles Fishman,2006,Penguin,shortlist,manufacturing & commerce,http://www.ft.com/cms/s/0/fe6a5b24-d5b5-11da-8b3a-0000779e2340.html,,The_Wal_Mart_Effect.jpg,The_Wal_Mart_Effect.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141019796,00.html?strSrchSql=the+wal-mart+effect%2A/The_Wal-Mart_Effect_Charles_Fishman"
Small  Giants,Bo Burlingham,2006,Penguin,shortlist,entrepreneurship,,,Small_Giants.jpg,Small_Giants.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141031491,00.html?strSrchSql=small+giants/Small_Giants_Bo_Burlingham"
FutureShop,Daniel Nissannoff,2006,Penguin Press,longlist,"technology & innovation, manufacturing & commerce",,,FutureShop.jpg,FutureShop.md,http://www.amazon.co.uk/Futureshop-Auction-Culture-Revolutionize-Things/dp/1594200777
China Shakes the World,James Kynge,2006,Phoenix,winner,growth markets,http://www.ft.com/cms/s/0/e9275bec-bfba-11da-939f-0000779e2340.html,,China_Shakes_the_World.jpg,China_Shakes_the_World.md,https://www.orionbooks.co.uk/books/detail.page?isbn=9780297856931
The Box,Marc Levinson,2006,Princeton University Press,shortlist,"globalisation, history",,,The_Box.jpg,The_Box.md,http://press.princeton.edu/titles/9383.html
Immigrants,Philippe Legrain,2007,Abacus,shortlist,"globalisation, economics",http://www.ft.com/cms/s/0/b568f98e-a43c-11db-bec4-0000779e2340.html,,Immigrants.jpg,Immigrants.md,https://www.littlebrown.co.uk/books/detail.page?isbn=9780349119748
Wikinomics,"Don Tapscott, Anthony Williams",2007,Atlantic Books,shortlist,"technology & innovation, economics",,,Wikinomics.jpg,Wikinomics.md,http://atlantic-books.co.uk/book/Wikinomics
Pop!,Daniel Gross,2007,Collins,longlist,"economics, investment & markets",http://www.ft.com/cms/s/1/0ff027da-f67a-11db-9812-000b5df10621.html,,Pop.jpg,Pop.md,http://www.amazon.co.uk/Pop-Why-Bubbles-Great-Economy-ebook/dp/B000QUCO8K
The Halo Effect,Phil Rosenzweig,2007,Free Press,longlist,leadership & management,http://www.ft.com/cms/s/0/d86ee492-9ace-11db-bbd2-0000779e2340.html?siteedition=uk,,The_Halo_Effect.jpg,The_Halo_Effect.md,http://books.simonandschuster.co.uk/The-Halo-Effect/Phil-Rosenzweig/9781471137167
The Future of Management,Gary Hamel,2007,Harvard Business Review Press,longlist,leadership & management,http://www.ft.com/cms/s/1/7de91896-614b-11dc-bf25-0000779fd2ac.html,,The_Future_of_Management.jpg,The_Future_of_Management.md,http://cb.hbsp.harvard.edu/cb/web/product_detail.seam?E=10937&R=2505-HBK-ENG&conversationId=3462834
A Demon of Our Own Design,Richard Bookstaber,2007,John Wiley & Sons,longlist,"investment & markets, banking & finance",http://www.ft.com/cms/s/2/3c2bbc4c-4373-11dc-a065-0000779fd2ac.html,,A_demon_of_our_own_design.jpg,A_demon_of_our_own_design.md,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-0470393750.html
The Cult of the Amateur,Andrew Keen,2007,Nicholas Brealey Publishing,longlist,technology & innovation,http://www.ft.com/cms/s/0/e28bceba-456c-11dc-b359-0000779fd2ac.html,,The_Cult_of_the_Amateur.jpg,The_Cult_of_the_Amateur.md,http://nicholasbrealey.com/london/the-cult-of-the-amateur.html
Then We Came to the End,Joshua Ferris,2007,Penguin,longlist,"workplace, fiction",http://www.ft.com/cms/s/0/493bec4c-d39a-11dc-b861-0000779fd2ac.html,,Then_We_Came_to_the_End.jpg,Then_We_Came_to_the_End.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141027630,00.html?strSrchSql=then+we+came+to+the+end/Then_We_Came_to_the_End_Joshua_Ferris"
The Black Swan,Nassim Nicholas Taleb,2007,Penguin,shortlist,"investment & markets, banking & finance, economics",http://www.ft.com/cms/s/0/824ac36c-f134-11db-838b-000b5df10621.html,,The_Black_Swan.jpg,The_Black_Swan.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141034591,00.html?strSrchSql=the+black+swan/The_Black_Swan_Nassim_Nicholas_Taleb"
The Age of Turbulence,Alan Greenspan,2007,Penguin,shortlist,"investment & markets, banking & finance, biography",http://www.ft.com/cms/s/0/b48da02a-6479-11dc-90ea-0000779fd2ac.html,,The_Age_of_Turbulence.jpg,The_Age_of_Turbulence.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141029917,00.html?strSrchSql=the+age+of+turbulence/The_Age_of_Turbulence_Alan_Greenspan"
The Last Tycoons,William Cohan,2007,Penguin,winner,"banking & finance, history",http://www.ft.com/cms/s/1/99c8880a-d701-11db-b9d7-000b5df10621.html,,The_last_tycoons.jpg,The_last_tycoons.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141916835,00.html?strSrchSql=the+last+tycoons%2A/The_Last_Tycoons_William_D._Cohan"
Richistan,Robert Frank,2007,Piatkus,longlist,economics,http://www.ft.com/cms/s/0/a6a04d4a-2514-11dc-bf47-000b5df10621.html,,Richistan.jpg,Richistan.md,http://www.amazon.co.uk/Richistan-Journey-Through-Century-Wealth/dp/0749928654
Asian Godfathers,Joe Studwell,2007,Profile Books,longlist,growth markets,http://www.ft.com/cms/s/0/3d8b434a-2fa6-11dc-a68f-0000779fd2ac.html,,Asian_Godfathers.jpg,Asian_Godfathers.md,http://www.profilebooks.com/isbn/9781847651440/
The Emerging Markets Century,Antonie van Agtmael,2007,Simon and Schuster,longlist,"growth markets, history",http://www.ft.com/cms/s/0/0a10df12-ba3e-11db-89c8-0000779e2340.html,,The_Emerging_Markets_Century.jpg,The_Emerging_Markets_Century.md,http://books.simonandschuster.co.uk/The-Emerging-Markets-Century/Antoine-van-Agtmael/9781847375148
Zoom,"Iain Carson, Vijay Vaitheeswaran",2007,Twelve,shortlist,manufacturing & commerce,http://www.ft.com/cms/s/0/30158792-94b0-11dc-9aaf-0000779fd2ac.html,,Zoom.jpg,Zoom.md,http://www.hachettebookgroup.com/titles/mr-vijay-vaitheeswaran/zoom/9780446408325/
Cold Steel,"Byron Ousey, Tim Bouquet",2008,Abacus,shortlist,"manufacturing & commerce, investment & markets",http://www.ft.com/cms/s/0/a8416924-0dab-11dd-b90a-0000779fd2ac.html,,Cold_Steel.jpg,Cold_Steel.md,https://www.littlebrown.co.uk/books/detail.page?isbn=9780748111763
A Splendid Exchange,William Bernstein,2008,Atlantic Books,shortlist,"globalisation, history, economics",http://www.ft.com/cms/s/0/b957f998-64dc-11dd-af61-0000779fd18c.html,,A_Splendid_Exchange.jpg,A_Splendid_Exchange.md,http://atlantic-books.co.uk/book/A%20Splendid%20Exchange
The End of Food,Paul Roberts,2008,Bloomsbury Publishing PLC,longlist,energy & environment,http://www.ft.com/cms/s/0/1f0c5eee-5f67-11dd-91c0-000077b07658.html,,The_End_of_Food.jpg,The_End_of_Food.md,http://www.bloomsbury.com/uk/the-end-of-food-9780747596424/
The Snowball,Alice Schroeder,2008,Bloomsbury Publishing PLC,shortlist,"biography, investment & markets",http://www.ft.com/cms/s/0/8b6c77b8-8b59-11dd-b634-0000779fd18c.html,,The_Snowball.jpg,The_Snowball.md,http://www.bloomsbury.com/uk/the-snowball-9781408807323/
Winner Takes All,Christina Binkley,2008,Hyperion,longlist,entertainment & media,,,Winner_takes_all.jpg,Winner_takes_all.md,http://hyperionbooks.com/book/winner-takes-allsteve-wynn-kirk-krkorian-gary-loveman-and-the-race-to-own-las-vegas/
When Markets Collide,Mohamed El-Erian,2008,McGraw-Hill Professional,winner,"economics, investment & markets",http://www.ft.com/cms/s/2/7534a0e8-5c00-11dd-9e99-000077b07658.html,,When_Markets_Collide.jpg,When_Markets_Collide.md,http://www.mhprofessional.com/product.php?isbn=0071592822
The Powers to Lead,Joseph Nye,2008,OUP USA,longlist,leadership & management,,,The_Powers_to_Lead.jpg,The_Powers_to_Lead.md,http://ukcatalogue.oup.com/product/9780195335620.do
Nudge,"Richard Thaler, Cass Sunstein",2008,Penguin,longlist,"behavioural science, economics",http://www.ft.com/cms/s/0/6a14e2d2-6ec9-11dd-a80a-0000779fd18c.html?siteedition=uk,,Nudge.jpg,Nudge.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141976105,00.html?strSrchSql=nudge/Nudge"
Here Comes Everybody,Clay Shirky,2008,Penguin,longlist,"leadership & management, technology & innovation",,,Here_Comes_Everybody.jpg,Here_Comes_Everybody.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141919478,00.html?strSrchSql=here+comes+everybody%2A/Here_Comes_Everybody_Clay_Shirky"
Common Wealth,Jeffrey Sachs,2008,Penguin,longlist,"economics, globalisation",http://www.ft.com/cms/s/0/e0cd33d8-f3be-11dc-b6bc-0000779fd2ac.html,,Common_Wealth.jpg,Common_Wealth.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141919317,00.html?strSrchSql=common+wealth/Common_Wealth_Jeffrey_D._Sachs"
What They Teach You at Harvard Business School,Philip Delves Broughton,2008,Penguin,longlist,leadership & management,http://www.ft.com/cms/s/0/11317232-5e27-11dd-b354-000077b07658.html,,What_they_teach_you_at_Harvard_business_school.jpg,What_they_teach_you_at_Harvard_business_school.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141046488,00.html?strSrchSql=what+they+teach+you+at+harvard+business+school/What_They_Teach_You_at_Harvard_Business_School_Philip_Delves_Broughton"
Rivals,Bill Emmott,2008,Penguin,longlist,growth markets,http://www.ft.com/cms/s/0/563b1824-02ab-11dd-9388-000077b07658.html,,Rivals.jpg,Rivals.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141031408,00.html?strSrchSql=rivals/Rivals_Bill_Emmott"
Remix,Lawrence Lessig,2008,Penguin,shortlist,"economics, technology & innovation",,,Remix.jpg,Remix.md,http://www.amazon.co.uk/Remix-Making-Commerce-Thrive-Economy/dp/0143116134
Our Daily Meds,Melody Petersen,2008,Picador USA,longlist,manufacturing & commerce,,,Our_Daily_Meds.jpg,Our_Daily_Meds.md,http://us.macmillan.com/books/9780312428259
The Trillion Dollar Meltdown,Charles Morris,2008,Public Affairs Ltd,longlist,"economics, investment & markets",http://www.ft.com/cms/s/0/216bd19c-043b-11dd-b28b-000077b07658.html,,The_Trillion_Dollar_Meltdown.jpg,The_Trillion_Dollar_Meltdown.md,http://www.publicaffairsbooks.com/book/paperback/the-two-trillion-dollar-meltdown/9781586486914
McMafia,Misha Glenny,2008,Vintage,shortlist,crime & scandal,http://www.ft.com/cms/s/0/65c66f8c-125a-11dd-9b49-0000779fd2ac.html,,McMafia.jpg,McMafia.md,http://www.randomhouse.co.uk/editions/mcmafia-seriously-organised-crime/9780099481256
Good Value,Stephen Green,2009,Allen Lane,shortlist,"leadership & management, banking & finance, investment & markets",,,Good_Value.jpg,Good_Value.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9781846142376,00.html?strSrchSql=good+value/Good_Value_Stephen_Green"
The Myth of the Rational Market,Justin Fox,2009,Harriman House,longlist,"economics, investment & markets",http://www.ft.com/cms/s/2/08bc21d8-5395-11de-be08-00144feabdc0.html,,The_Myth_of_the_Rational_Market.jpg,The_Myth_of_the_Rational_Market.md,http://www.amazon.com/The-Myth-Rational-Market-Delusion/dp/0060599030
Clever,Rob Goffee and Gareth Jones,2009,Harvard Business Review Press,longlist,"leadership & management, workplace",http://www.ft.com/cms/s/0/37f2fe36-9805-11de-8d3d-00144feabdc0.html,,Clever.jpg,Clever.md,http://www.amazon.co.uk/Clever-Leading-Smartest-Creative-People/dp/1422122964
House of Cards,William Cohan,2009,Penguin,longlist,banking & finance,http://www.ft.com/cms/s/0/d9e543e8-0f5c-11de-ba10-0000779fd2ac.html,,House_of_Cards.jpg,House_of_Cards.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141902609,00.html?strSrchSql=house+of+cards/House_of_Cards_William_D._Cohan"
Waste,Tristram Stuart,2009,Penguin,longlist,energy & environment,http://www.ft.com/cms/s/0/38e4d5fe-7261-11de-ba94-00144feabdc0.html,,Waste.jpg,Waste.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141036342,00.html?strSrchSql=waste/Waste_Tristram_Stuart"
Imagining India,Nandan Nilekani,2009,Penguin,shortlist,growth markets,http://www.ft.com/cms/s/0/61b712a8-ecdd-11dd-a534-0000779fd2ac.html,,Imagining_India.jpg,Imagining_India.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141036267,00.html?strSrchSql=imagining+india%2A/Imagining_India_Nandan_Nilekani"
This Time is Different,Carmen Reinhart and Kenneth Rogoff,2009,Princeton University Press,Longlist,"economics, investment & markets",http://www.ft.com/cms/s/0/4a1d6ff8-abc7-11de-9be4-00144feabdc0.html,,This_Time_is_Different.jpg,This_Time_is_Different.md,http://press.princeton.edu/titles/8973.html
Animal Spirits,"George Akerlof, Robert Shiller",2009,Princeton University Press,shortlist,"economics, investment & markets",http://www.ft.com/cms/s/0/ed2f82dc-fbbc-11dd-bcad-000077b07658.html,,Animal_Spirits.jpg,Animal_Spirits.md,http://press.princeton.edu/titles/8967.html
Supercorp,Rosabeth Moss Kanter,2009,Profile Books,longlist,leadership & management,http://www.ft.com/cms/s/0/c6b143b2-9283-11de-b63b-00144feabdc0.html,,Supercorp.jpg,Supercorp.md,http://www.profilebooks.com/isbn/9781847652294/
The Match King,Frank Partnoy,2009,Profile Books,shortlist,"crime & scandal, history",http://www.ft.com/cms/s/0/b3a1abc2-195c-11de-9d34-0000779fd2ac.html,,The_Match_King.jpg,The_Match_King.md,http://www.profilebooks.com/isbn/9781847651389/
Free,Chris Anderson,2009,Random House Business,longlist,"technology & innovation, economics",http://www.ft.com/cms/s/0/0bb39a38-665f-11de-a034-00144feabdc0.html,,Free.jpg,Free.md,http://www.randomhouse.co.uk/editions/free-the-future-of-a-radical-price/9781446409558
How the Mighty Fall,Jim Collins,2009,Random House Business,longlist,leadership & management,http://www.ft.com/cms/s/0/ce5a75e4-5056-11de-9530-00144feabdc0.html,,How_the_Mighty_Fall.jpg,How_the_Mighty_Fall.md,http://www.randomhouse.co.uk/editions/how-the-mighty-fall-and-why-some-companies-never-give-in/9781847940421
In Fed We Trust,David Wessel,2009,Random House USA,shortlist,"banking & finance, investment & markets, economics",http://www.ft.com/cms/s/0/707bec42-9362-11de-b146-00144feabdc0.html,,In_Fed_We_Trust.jpg,In_Fed_We_Trust.md,http://www.randomhouse.com/book/188972/in-fed-we-trust-by-david-wessel
Why Your World is About to Get a Whole Lot Smaller,Jeff Rubin,2009,Virgin Books,longlist,energy & environment,http://www.ft.com/cms/s/0/f1395e5e-515f-11de-84c3-00144feabdc0.html,,Why_your_world_is_about_to_get_a_whole_lot_smaller.jpg,Why_your_world_is_about_to_get_a_whole_lot_smaller.md,http://www.virginbooks.com/
Lords of Finance,Liaquat Ahamed,2009,Windmill Books,winner,"banking & finance, economics, history",http://www.ft.com/cms/s/0/d4a84d58-d6c7-11dd-9bf7-000077b07658.html,,Lords_of_Finance.jpg,Lords_of_Finance.md,http://www.randomhouse.co.uk/editions/lords-of-finance-1929-the-great-depression-and-the-bankers-who-broke-the-world/9780099493082
The Art of Choosing,Sheena Iyengar,2010,Abacus,shortlist,"leadership & management, behavioural science",,,The_Art_of_Choosing.jpg,The_Art_of_Choosing.md,https://www.littlebrown.co.uk/books/detail.page?isbn=9780748117444
Union Atlantic,Adam Haslett,2010,Atlantic Books,longlist,"banking & finance, fiction",http://www.ft.com/cms/s/2/4cfe9950-8564-11df-aa2e-00144feabdc0.html,,Union_Atlantic.jpg,Union_Atlantic.md,http://atlantic-books.co.uk/book/Union%20Atlantic
MacroWikinomics,"Don Tapscott, Anthony Williams",2010,Atlantic Books,longlist,"technology & innovation, economics",http://www.ft.com/cms/s/0/9c68a452-bb8f-11df-89b6-00144feab49a.html,,MacroWikinomics.jpg,MacroWikinomics.md,http://atlantic-books.co.uk/book/MacroWikinomics
More Money Than God,Sebastian Mallaby,2010,Bloomsbury Paperbacks,shortlist,"investment & markets, banking & finance",http://www.ft.com/cms/s/2/e56ae244-7a5f-11df-9cd7-00144feabdc0.html,,More_Money_Than_God.jpg,More_Money_Than_God.md,http://www.bloomsbury.com/uk/more-money-than-god-9781408809754/
Circle of Greed,"Patrick Dillon, Carl Cannon",2010,Broadway Books,longlist,crime & scandal,http://www.ft.com/cms/s/0/ffc730fc-2186-11df-830e-00144feab49a.html,,Circle_of_Greed.jpg,Circle_of_Greed.md,http://www.randomhouse.com/book/40968/circle-of-greed-by-patrick-dillon-and-carl-cannon
The Rational Optimist,Matt Ridley,2010,Fourth Estate,longlist,"economics, technology & innovation",http://www.ft.com/cms/s/2/b2cbb506-74de-11df-aed7-00144feabdc0.html,,The_Rational_Optimist.jpg,The_Rational_Optimist.md,http://www.harpercollins.co.uk/9780007267125/the-rational-optimist
What Works,Hamish McRae,2010,HarperPress,longlist,leadership & management,,,What_Works.jpg,What_Works.md,http://www.amazon.co.uk/What-Works-Success-Stressful-Times/dp/0007203780
The Lords of Strategy,Walter Kiechel,2010,Harvard Business Review Press,longlist,leadership & management,,,The_Lords_of_Strategy.jpg,The_Lords_of_Strategy.md,http://www.amazon.co.uk/Lords-Strategy-Intellectual-History-Corporate-ebook/dp/B004OC072G/ref=sr_1_1?s=books&ie=UTF8&qid=1414161954&sr=1-1&keywords=the+lords+of+strategy
How Markets Fail,John Cassidy,2010,Penguin,longlist,"economics, investment & markets",,,How_Markets_Fail.jpg,How_Markets_Fail.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141036519,00.html?strSrchSql=how+markets+fail/How_Markets_Fail_John_Cassidy"
The Big Short,Michael Lewis,2010,Penguin,shortlist,"investment & markets, banking & finance",http://www.ft.com/cms/s/0/cdd52b4c-3790-11df-88c6-00144feabdc0.html,,The_Big_Short.jpg,The_Big_Short.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141043531,00.html?strSrchSql=the+big+short/The_Big_Short_Michael_Lewis"
Too Big to Fail,Andrew Ross Sorkin,2010,Penguin,shortlist,"investment & markets, banking & finance",http://www.ft.com/cms/s/0/5d4a248a-c400-11de-8de6-00144feab49a.html,,Too_Big_to_Fail.jpg,Too_Big_to_Fail.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141043166,00.html?strSrchSql=too+big+to+fail/Too_Big_to_Fail_Andrew_Ross_Sorkin"
The End of the Free Market,Ian Bremmer,2010,Portfolio,longlist,"economics, investment & markets",http://www.ft.com/cms/s/2/2544b9ae-7195-11df-8eec-00144feabdc0.html,,The_End_of_the_Free_Market.jpg,The_End_of_the_Free_Market.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9781591844402,00.html?strSrchSql=the+end+of+the+free+market/The_End_of_the_Free_Market_Ian_Bremmer"
Fault Lines,Raghuram Rajan,2010,Princeton University Press,winner,"investment & markets, banking & finance, economics",http://www.ft.com/cms/s/2/f63ff6c6-7c9f-11df-8b74-00144feabdc0.html,,Fault_Lines.jpg,Fault_Lines.md,http://press.princeton.edu/titles/9111.html
Fortune's Fool,Fred Goodman,2010,Simon and Schuster,longlist,entertainment & media,http://www.ft.com/cms/s/0/0bf565e6-ab0d-11df-9e6b-00144feabdc0.html,,Fortune_Fool.jpg,Fortune_Fool.md,http://books.simonandschuster.co.uk/Fortunes-Fool/Fred-Goodman/9780743269995
All the Devils are Here,"Bethany McLean, Joe Nocera",2010,Viking,longlist,"banking & finance, investment & markets",http://www.ft.com/cms/s/0/5b58fd1c-f27c-11df-a2f3-00144feab49a.html,,All_the_Devils_are_Here.jpg,All_the_Devils_are_Here.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780670920365,00.html?strSrchSql=bethany+mclean%2A/All_The_Devils_Are_Here_Bethany_McLean"
